branch_id,branch_name,city,state,region,manager_name
1,Hyderabad Central,Hyderabad,Telangana,South,Rajesh Kumar
2,Bangalore Tech Park,Bangalore,Karnataka,South,Priya Nair
3,Chennai City Mall,Chennai,Tamil Nadu,South,Suresh Reddy
4,Mumbai Business Hub,Mumbai,Maharashtra,West,Anita Sharma
5,Delhi Connaught Place,Delhi,Delhi,North,Rahul Verma
6,Ahmedabad Plaza,Ahmedabad,Gujarat,West,Kiran Patel
7,Kolkata City Center,Kolkata,West Bengal,East,Subhash Das
8,Jaipur Pink Square,Jaipur,Rajasthan,North,Neha Gupta
9,Kochi Metro Mall,Kochi,Kerala,South,Arun Thomas
10,Lucknow Galleria,Lucknow,Uttar Pradesh,North,Vivek Mishra
